_id,created_at,tweet_content,keyword,user_location,entities,classification
ObjectId(6091f3547ef2d107a44055d8),2021-05-04 12:32:31,"“Vou gastar tudo na Nike, cueca da Calvin Klein”",['Nike'],Hell not Helsinki,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T13:31:07.245Z""},{""classification"":false,""created_at"":""2021-05-10T14:30:17.681Z""},{""classification"":false,""created_at"":""2021-05-10T14:30:20.818Z""}]"
ObjectId(6091f3547ef2d107a44055d9),2021-05-04 12:32:35,"@Pow3rTale Boa mano, vá que eles podem dar uma xiaomi para vc, vc merece mano kkkkkkk",['Xiaomi'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Pow3rTale', 'name': 'Power ✨SORTEIO NO FIXADO✨', 'id': 1225962221647339522, 'id_str': '1225962221647339522', 'indices': [0, 10]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:43:00.516Z""},{""classification"":false,""created_at"":""2021-05-10T12:44:13.747Z""},{""classification"":true,""created_at"":""2021-05-10T13:07:40.932Z""}]"
ObjectId(6091f3547ef2d107a44055da),2021-05-04 12:32:35,"eu: vou parar de comer besteira 

logo dps meu café da manhã foi bis e coca cola",['Coca cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:49:42.373Z""},{""classification"":false,""created_at"":""2021-05-10T12:53:52.899Z""},{""classification"":true,""created_at"":""2021-05-10T12:57:11.794Z""}]"
ObjectId(6091f3547ef2d107a44055db),2021-05-04 12:32:50,além de linda usa nike 😍,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'mongs_hugo', 'name': 'hugo ✨', 'id': 1208201731068321792, 'id_str': '1208201731068321792', 'indices': [3, 14]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:38:01.288Z""},{""classification"":true,""created_at"":""2021-05-10T13:27:58.195Z""},{""classification"":false,""created_at"":""2021-05-10T13:34:01.667Z""}]"
ObjectId(6091f3547ef2d107a44055dc),2021-05-04 12:32:55,"Já aprovei os R$ 20,00 de limite a mais que o @nubank deu e paz um pix para 586dd1fb-15fb-45ff-9fcd-63cd5cafde33 com uma mensagem.",['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:39:53.157Z""},{""classification"":true,""created_at"":""2021-05-10T12:59:42.273Z""},{""classification"":true,""created_at"":""2021-05-10T13:24:21.422Z""}]"
ObjectId(6091f3547ef2d107a44055dd),2021-05-04 12:32:59,viciado em Shein,['SHEIN'],"Windermere, FL","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T13:03:36.306Z""},{""classification"":false,""created_at"":""2021-05-10T13:25:48.948Z""},{""classification"":true,""created_at"":""2021-05-10T13:28:06.477Z""}]"
ObjectId(6091f3547ef2d107a44055de),2021-05-04 12:33:13,"tipo a parada de falar que a furia é muito nike e gatorade e o plano é raiz, além do bagulho do SM",['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:33:15.400Z""},{""classification"":true,""created_at"":""2021-05-10T12:38:26.317Z""},{""classification"":false,""created_at"":""2021-05-10T12:38:30.813Z""}]"
ObjectId(6091f3547ef2d107a44055df),2021-05-04 12:33:39,@nubank que ódio de você! Não pode aprovar meu crédito por quê ?,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:37:03.997Z""},{""classification"":false,""created_at"":""2021-05-10T12:38:07.357Z""},{""classification"":false,""created_at"":""2021-05-10T12:56:04.578Z""}]"
ObjectId(6091f3547ef2d107a44055e0),2021-05-04 12:33:42,meu sonho parar de tomar coca cola,['Coca cola'],Anápolis,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'brennersbueno', 'name': 'Brenner Bueno', 'id': 907328271406247937, 'id_str': '907328271406247937', 'indices': [3, 17]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:31:43.610Z""},{""classification"":true,""created_at"":""2021-05-10T12:33:48.761Z""},{""classification"":true,""created_at"":""2021-05-10T12:39:03.105Z""}]"
ObjectId(6091f3547ef2d107a44055e1),2021-05-04 12:34:12,Nubank pare de aumentar meu limite pf eu me sinto no obrigação de gastar,['Nubank'],"Goiânia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:32:37.421Z""},{""classification"":true,""created_at"":""2021-05-10T12:33:45.310Z""},{""classification"":true,""created_at"":""2021-05-10T13:03:52.776Z""}]"
ObjectId(6091f3547ef2d107a44055e2),2021-05-04 12:34:13,nubank dobrou meu limite de novo,['Nubank'],Roo / Cba,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:49:56.001Z""},{""classification"":true,""created_at"":""2021-05-10T12:55:12.573Z""},{""classification"":true,""created_at"":""2021-05-10T13:30:16.636Z""}]"
ObjectId(6091f3547ef2d107a44055e3),2021-05-04 12:34:13,esse aplicativo da nike eh muito bom so queria incluir meu deezer nele,['Nike'],recife,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:37:24.912Z""},{""classification"":false,""created_at"":""2021-05-10T12:41:11.194Z""},{""classification"":true,""created_at"":""2021-05-10T12:54:29.595Z""}]"
ObjectId(6091f3547ef2d107a44055e4),2021-05-04 12:34:16,"o nubank liberou mais limites p todos, menos o meu ... eu só queria entender, se eu pago até dias antes da fatura vencer 
@nubank",['Nubank'],"Engenho da Rainha, Rio de Jane","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [122, 129]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T13:35:08.924Z""},{""classification"":true,""created_at"":""2021-05-10T13:35:45.632Z""},{""classification"":false,""created_at"":""2021-05-10T13:47:38.688Z""}]"
ObjectId(6091f3547ef2d107a44055e5),2021-05-04 12:34:18,Nubank aumentando meu limite do nada socorro,['Nubank'],Brasília,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T13:30:18.827Z""},{""classification"":true,""created_at"":""2021-05-10T13:35:06.227Z""},{""classification"":true,""created_at"":""2021-05-10T13:48:37.819Z""}]"
ObjectId(6091f3547ef2d107a44055e6),2021-05-04 12:34:21,"Já aprovei os R$ 20,00 de limite a mais que o @nubank deu e faz um pix para 586dd1fb-15fb-45ff-9fcd-63cd5cafde33 com uma mensagem.",['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T13:03:04.958Z""},{""classification"":false,""created_at"":""2021-05-10T13:34:58.507Z""},{""classification"":true,""created_at"":""2021-05-10T14:28:48.122Z""}]"
ObjectId(6091f3547ef2d107a44055e7),2021-05-04 12:34:22,vi a nubank no topico e fui olhar o meu tbm ja q geral ta falando q aumentaram o limite kkk,['Nubank'],13,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:42:32.589Z""},{""classification"":true,""created_at"":""2021-05-10T12:51:10.764Z""},{""classification"":true,""created_at"":""2021-05-10T12:56:14.597Z""}]"
ObjectId(6091f3547ef2d107a44055e8),2021-05-04 12:34:35,Sexta feira ir na Nike é tudo que eu quero pprt 🤧,['Nike'],Itaboraí,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:35:41.327Z""},{""classification"":false,""created_at"":""2021-05-10T12:39:00.301Z""},{""classification"":true,""created_at"":""2021-05-10T13:05:20.919Z""}]"
ObjectId(6091f3547ef2d107a44055e9),2021-05-04 12:35:07,"caí no mundinho SHEIN
estou perdida amadas??",['SHEIN'],Curitiba - PR,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:38:34.411Z""},{""classification"":true,""created_at"":""2021-05-10T12:43:12.243Z""},{""classification"":true,""created_at"":""2021-05-10T13:03:51.283Z""}]"
ObjectId(6091f3547ef2d107a44055ea),2021-05-04 12:35:17,"Nubank generoso deixando o povo se endividar e pagar juros ai que lindo, nubank o amigo de todos sqn.",['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:52:16.596Z""},{""classification"":false,""created_at"":""2021-05-10T13:02:01.186Z""},{""classification"":true,""created_at"":""2021-05-10T13:34:52.116Z""}]"
ObjectId(6091f3547ef2d107a44055eb),2021-05-04 12:35:36,@frifasnews Ai o cara com a blusa da nike,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'frifasnews', 'name': 'FRIFAS NEW’S', 'id': 1299343628985413633, 'id_str': '1299343628985413633', 'indices': [0, 11]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:42:48.803Z""},{""classification"":true,""created_at"":""2021-05-10T13:02:20.200Z""},{""classification"":true,""created_at"":""2021-05-10T13:25:21.242Z""}]"
ObjectId(6091f3547ef2d107a44055ec),2021-05-04 12:35:18,nubank esse aumento de limite ta me dando gatilho,['Nubank'],"Pindamonhangaba, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:38:04.178Z""},{""classification"":false,""created_at"":""2021-05-10T12:47:28.452Z""},{""classification"":false,""created_at"":""2021-05-10T12:47:39.506Z""}]"
ObjectId(6091f3547ef2d107a44055ed),2021-05-04 12:35:38,meu deus comprei muita coisa na shein kkkkkkkkkkkk vou falir,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:34:06.601Z""},{""classification"":true,""created_at"":""2021-05-10T13:02:59.450Z""},{""classification"":true,""created_at"":""2021-05-10T13:04:24.957Z""}]"
ObjectId(6091f3547ef2d107a44055ee),2021-05-04 12:35:40,uma hora eh roupa da shein outra hora roupa de time outra conjunto da cyclone i as vezes piercing no umbigo 💔,['SHEIN'],19,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:56:09.760Z""},{""classification"":true,""created_at"":""2021-05-10T13:02:56.818Z""},{""classification"":true,""created_at"":""2021-05-10T13:04:42.509Z""}]"
ObjectId(6091f3547ef2d107a44055ef),2021-05-04 12:35:48,todos meus mano de Nike,['Nike'],cxs,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:55:54.090Z""},{""classification"":true,""created_at"":""2021-05-10T13:03:56.736Z""},{""classification"":true,""created_at"":""2021-05-10T13:32:22.498Z""}]"
ObjectId(6091f3547ef2d107a44055f0),2021-05-04 12:35:47,Pessoal comentando aumento de crédito no nubank hoje e eu lembrando que o meu aumenta de 200 em 200 reais. Ainda não sei se é bom ou ruim,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:35:01.174Z""},{""classification"":false,""created_at"":""2021-05-10T13:00:14.531Z""},{""classification"":true,""created_at"":""2021-05-10T13:33:23.868Z""}]"
ObjectId(6091f3547ef2d107a44055f1),2021-05-04 12:35:50,achei o vestido na shein q odio,['SHEIN'],"Salvador, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:38:25.941Z""},{""classification"":false,""created_at"":""2021-05-10T13:04:03.716Z""},{""classification"":false,""created_at"":""2021-05-10T13:04:23.787Z""}]"
ObjectId(6091f3547ef2d107a44055f2),2021-05-04 12:36:13,"MINHAS ROUPAS DA SHEIN CHEGARAM, EU TO ANSIOSA",['SHEIN'],"Aracaju, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:43:48.427Z""},{""classification"":true,""created_at"":""2021-05-10T12:52:27.884Z""},{""classification"":true,""created_at"":""2021-05-10T13:04:10.209Z""}]"
ObjectId(6091f3547ef2d107a44055f3),2021-05-04 12:36:13,"Gente, alguém sabe onde consigo comprar um fone xiaomi em São Luís daqueles sem fio massa, por um precinho legal? 

Ps: no site ta 190",['Xiaomi'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:53:15.188Z""},{""classification"":true,""created_at"":""2021-05-10T12:54:36.209Z""},{""classification"":true,""created_at"":""2021-05-10T14:15:53.187Z""}]"
ObjectId(6091f3547ef2d107a44055f4),2021-05-04 12:36:18,nubank eu nao pedi p vc aumentar meu limite cara......... assim vc n me ajuda,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:38:01.155Z""},{""classification"":false,""created_at"":""2021-05-10T12:43:52.256Z""},{""classification"":true,""created_at"":""2021-05-10T12:53:23.292Z""}]"
ObjectId(6091f3547ef2d107a44055f5),2021-05-04 12:36:20,"@Tiagogreis Microsoft: super difícil criar um SO, Coca Cola: patente cola que vicia e AmBev.",['Coca cola'],Aracaju,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Tiagogreis', 'name': 'Tiago Guitián Reis', 'id': 2428055045, 'id_str': '2428055045', 'indices': [0, 11]}], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:50:17.130Z""},{""classification"":true,""created_at"":""2021-05-10T13:58:02.862Z""},{""classification"":false,""created_at"":""2021-05-10T14:15:59.702Z""}]"
ObjectId(6091f3547ef2d107a44055f6),2021-05-04 12:36:27,"todos aquellos hombres q todo este tiempo (antes de q llegara mi pedido de shein) me ignoraron q sepan q ahora que estoy en mi cima (ha llegado mi pedido de shein) no estoy para ellos

si no estuviste en las malas (antes de shein) no tendras lugar en las buenas (después de shein)",['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:42:06.974Z""},{""classification"":true,""created_at"":""2021-05-10T12:49:45.559Z""},{""classification"":false,""created_at"":""2021-05-10T13:02:17.438Z""}]"
ObjectId(6091f3547ef2d107a44055f7),2021-05-04 12:36:31,as minhas cenas da shein chegaram wlduejbshd,['SHEIN'],she/her,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:43:41.484Z""},{""classification"":true,""created_at"":""2021-05-10T13:03:48.043Z""},{""classification"":true,""created_at"":""2021-05-10T13:00:59.495Z""}]"
ObjectId(6091f3547ef2d107a44055f8),2021-05-04 12:36:30,nubank aumentou em 10 reais meu limite... já é algo ne,['Nubank'],krakoa,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:33:17.002Z""},{""classification"":true,""created_at"":""2021-05-10T12:54:54.216Z""},{""classification"":false,""created_at"":""2021-05-10T13:04:54.441Z""}]"
ObjectId(6091f3547ef2d107a44055f9),2021-05-04 12:36:32,"além de shein agr eu tô viciada em comprinhas no enjoei, scr",['SHEIN'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:24:56.078Z""},{""classification"":true,""created_at"":""2021-05-10T12:37:11.155Z""},{""classification"":true,""created_at"":""2021-05-10T12:42:36.530Z""}]"
ObjectId(6091f3547ef2d107a44055fa),2021-05-04 12:36:52,"@deszanti ardidas geralmente

mas depende do nike",['Nike'],"Guarulhos, Iraque","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'deszanti', 'name': 'lua', 'id': 777317655007129600, 'id_str': '777317655007129600', 'indices': [0, 9]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T13:25:40.960Z""},{""classification"":false,""created_at"":""2021-05-10T13:31:36.071Z""},{""classification"":true,""created_at"":""2021-05-10T13:47:22.561Z""}]"
ObjectId(6091f3547ef2d107a44055fb),2021-05-04 12:37:15,Nunca mais meu limite do Nubank aumentou,['Nubank'],Aldeia da Folha 🍃,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:49:48.268Z""},{""classification"":false,""created_at"":""2021-05-10T12:50:01.661Z""},{""classification"":false,""created_at"":""2021-05-10T12:56:37.388Z""}]"
ObjectId(6091f3547ef2d107a44055fc),2021-05-04 12:37:23,vontadezinha véa besta de pegar os 20 mil reais q o Nubank disse q tinha disponível pra empréstimo e fugir do país,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:59:14.321Z""},{""classification"":true,""created_at"":""2021-05-10T13:27:39.492Z""},{""classification"":false,""created_at"":""2021-05-10T13:30:04.707Z""}]"
ObjectId(6091f3547ef2d107a44055fd),2021-05-04 12:37:32,"a nubank aumentando meu limite, confia hahahahaah",['Nubank'],"Icuí City, Ananindeua, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:37:20.928Z""},{""classification"":false,""created_at"":""2021-05-10T12:33:45.023Z""},{""classification"":true,""created_at"":""2021-05-10T12:52:02.132Z""}]"
ObjectId(6091f3547ef2d107a44055fe),2021-05-04 12:37:46,"Vi o @nubank no topo, já vim correndo ver se era o Apple Pay! 🤡🤡🤡 agiliza aí né @Apple 🙏🏼",['Nubank'],"Goiânia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [5, 12]}, {'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [80, 86]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T13:30:52.630Z""},{""classification"":false,""created_at"":""2021-05-10T13:48:56.301Z""},{""classification"":false,""created_at"":""2021-05-10T13:56:39.478Z""}]"
ObjectId(6091f3547ef2d107a44055ff),2021-05-04 12:37:49,"@akbilbo Drx paia dms, e só ele p me roubar da nike",['Nike'],031💸Ced,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'akbilbo', 'name': 'bilbo', 'id': 2786336070, 'id_str': '2786336070', 'indices': [0, 8]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:41:32.350Z""},{""classification"":false,""created_at"":""2021-05-10T13:01:45.159Z""},{""classification"":false,""created_at"":""2021-05-10T13:01:06.898Z""}]"
ObjectId(6091f3547ef2d107a4405600),2021-05-04 12:38:18,É até bom q a nubank n aumente meu limite,['Nubank'],"Camp Nou, Salvador","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T13:04:21.407Z""},{""classification"":true,""created_at"":""2021-05-10T13:25:29.823Z""},{""classification"":true,""created_at"":""2021-05-10T13:32:08.262Z""}]"
ObjectId(6091f3547ef2d107a4405601),2021-05-04 12:37:56,"Nubank aumentou meu limite p 400 reais, olha o diabo agindo",['Nubank'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":true,""created_at"":""2021-05-10T12:38:46.578Z""},{""classification"":true,""created_at"":""2021-05-10T13:01:08.718Z""},{""classification"":false,""created_at"":""2021-05-10T13:30:40.379Z""}]"
ObjectId(6091f3547ef2d107a4405602),2021-05-04 12:38:21,eu amo que o nubank só aumenta o limite de quem nem emprego tem,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'danilopaulodf', 'name': 'blessed bacon', 'id': 2352330198, 'id_str': '2352330198', 'indices': [3, 17]}], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T13:28:16.295Z""},{""classification"":false,""created_at"":""2021-05-10T14:03:45.131Z""},{""classification"":true,""created_at"":""2021-05-10T14:29:09.235Z""}]"
ObjectId(6091f3547ef2d107a4405603),2021-05-04 12:39:07,todo mundo ganhando aumento no limite da nubank e eu tendo o pedido de aumento recusado 🤡🤡🤡,['Nubank'],rio de janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}","[{""classification"":false,""created_at"":""2021-05-10T12:34:22.687Z""},{""classification"":false,""created_at"":""2021-05-10T12:38:50.621Z""},{""classification"":true,""created_at"":""2021-05-10T12:40:43.612Z""}]"
