,created_at,tweet_content,keyword,user_location,hashtags,symbols,urls,user_mentions,avg_sentiment
27,2021-05-04 12:34:22,vi a nubank no topico e fui olhar o meu tbm ja q geral ta falando q aumentaram o limite kkk,['Nubank'],13,[],[],[],[],1
28,2021-05-04 12:34:35,Sexta feira ir na Nike é tudo que eu quero pprt 🤧,['Nike'],Itaboraí,[],[],[],[],1
29,2021-05-04 12:35:07,"caí no mundinho SHEIN
estou perdida amadas??",['SHEIN'],Curitiba - PR,[],[],[],[],1
31,2021-05-04 12:35:36,@frifasnews Ai o cara com a blusa da nike,['Nike'],None,[],[],[],"[{'screen_name': 'frifasnews', 'name': 'FRIFAS NEW’S', 'id': 1299343628985413633, 'id_str': '1299343628985413633', 'indices': [0, 11]}]",1
33,2021-05-04 12:35:38,meu deus comprei muita coisa na shein kkkkkkkkkkkk vou falir,['SHEIN'],None,[],[],[],[],1
34,2021-05-04 12:35:40,uma hora eh roupa da shein outra hora roupa de time outra conjunto da cyclone i as vezes piercing no umbigo 💔,['SHEIN'],19,[],[],[],[],1
35,2021-05-04 12:35:48,todos meus mano de Nike,['Nike'],cxs,[],[],[],[],1
36,2021-05-04 12:35:47,Pessoal comentando aumento de crédito no nubank hoje e eu lembrando que o meu aumenta de 200 em 200 reais. Ainda não sei se é bom ou ruim,['Nubank'],None,[],[],[],[],1
38,2021-05-04 12:36:13,"MINHAS ROUPAS DA SHEIN CHEGARAM, EU TO ANSIOSA",['SHEIN'],"Aracaju, Brasil",[],[],[],[],1
39,2021-05-04 12:36:13,"Gente, alguém sabe onde consigo comprar um fone xiaomi em São Luís daqueles sem fio massa, por um precinho legal? 

Ps: no site ta 190",['Xiaomi'],"São Paulo, Brasil",[],[],[],[],1
40,2021-05-04 12:36:18,nubank eu nao pedi p vc aumentar meu limite cara......... assim vc n me ajuda,['Nubank'],None,[],[],[],[],1
41,2021-05-04 12:36:20,"@Tiagogreis Microsoft: super difícil criar um SO, Coca Cola: patente cola que vicia e AmBev.",['Coca cola'],Aracaju,[],[],[],"[{'screen_name': 'Tiagogreis', 'name': 'Tiago Guitián Reis', 'id': 2428055045, 'id_str': '2428055045', 'indices': [0, 11]}]",1
43,2021-05-04 12:36:31,as minhas cenas da shein chegaram wlduejbshd,['SHEIN'],she/her,[],[],[],[],1
44,2021-05-04 12:36:30,nubank aumentou em 10 reais meu limite... já é algo ne,['Nubank'],krakoa,[],[],[],[],1
45,2021-05-04 12:36:32,"além de shein agr eu tô viciada em comprinhas no enjoei, scr",['SHEIN'],"São Paulo, Brasil",[],[],[],[],1
48,2021-05-04 12:37:23,vontadezinha véa besta de pegar os 20 mil reais q o Nubank disse q tinha disponível pra empréstimo e fugir do país,['Nubank'],None,[],[],[],[],1
49,2021-05-04 12:37:32,"a nubank aumentando meu limite, confia hahahahaah",['Nubank'],"Icuí City, Ananindeua, Brasil",[],[],[],[],1
52,2021-05-04 12:38:18,É até bom q a nubank n aumente meu limite,['Nubank'],"Camp Nou, Salvador",[],[],[],[],1
53,2021-05-04 12:37:56,"Nubank aumentou meu limite p 400 reais, olha o diabo agindo",['Nubank'],"Rio de Janeiro, Brasil",[],[],[],[],1
56,2021-05-04 12:38:58,nubank aumenta meu limite pra 5 mil e eu digo se esperava ou nao,['Nubank'],hogwarts,[],[],[],[],1
59,2021-05-04 12:39:49,"aproveitando que o @nubank na nos TT, bora cobrar o apple pay já que foi promessa de fim de ano",['Nubank'],Vitória da Conquista,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [19, 26]}]",1
60,2021-05-04 12:39:49,@fridasdaughter E eu aqui também sigo na mó paz sendo testemunha de Xiaomi! 🗣️,['Xiaomi'],Ilha de Lesbos,[],[],[],"[{'screen_name': 'fridasdaughter', 'name': 'lu', 'id': 1275661284055400450, 'id_str': '1275661284055400450', 'indices': [0, 15]}]",1
61,2021-05-04 12:39:55,"A quem interessar possa, estou com um novo projeto: a @HugMeClub, loja virtual que trabalha com produtos nacionais e importados de diversos setores. Originais de marcas renomadas como Calvin Klein, Tommy Hilfiger, Michael Kors, Carter's, Nike, Puma, dentre outras.",['Nike'],"Belo Horizonte, Brasil",[],[],[],"[{'screen_name': 'ramaodamassa', 'name': 'Ramon', 'id': 55749053, 'id_str': '55749053', 'indices': [3, 16]}, {'screen_name': 'HugMeClub', 'name': 'Hug Me Club', 'id': 177844326, 'id_str': '177844326', 'indices': [72, 82]}]",1
62,2021-05-04 12:39:56,"Alô @nubank se tá rolando um aumento de limite, lembra de mim! Quelu mutuuuu",['Nubank'],Rio de Janeiro,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [4, 11]}]",1
65,2021-05-04 12:40:17,sou datilografa virgem e gosto de coca cola,['Coca cola'],Pará,[],[],[],[],1
66,2021-05-04 12:40:19,@P0ssuidao xiaomi redmi note 10!!! (igual ao meu),['Xiaomi'],São Paulo - BR | Porto - PT,[],[],[],"[{'screen_name': 'P0ssuidao', 'name': 'João Freire', 'id': 1888938691, 'id_str': '1888938691', 'indices': [0, 10]}]",1
70,2021-05-04 12:40:34,"@mviana98_ Movimenta a conta da nubank que tu consegue um cartão deles, mesmo com nome sujo você consegue",['Nubank'],"São Gonçalo, Brasil",[],[],[],"[{'screen_name': 'mviana98_', 'name': 'Viana', 'id': 2287348307, 'id_str': '2287348307', 'indices': [0, 10]}]",1
71,2021-05-04 12:40:51,"Gente minhas comprinhas da shein estão no Brasil, quanto tempo será p entregar",['SHEIN'],cwb,[],[],[],[],1
75,2021-05-04 12:41:43,@nubank @AckisaMayra A resposta sempre é triste :(((((((((((((((((( kkkk,['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}, {'screen_name': 'AckisaMayra', 'name': 'Áckisa Octa (33-32)🧚🏼\u200d♀️✭', 'id': 1531346412, 'id_str': '1531346412', 'indices': [8, 20]}]",1
81,2021-05-04 12:42:48,"achei que meu pai não iria pagar o boleto da shein... mas ele foi bonzinho 🥺💜, lá vai eu ficar ansiosa pra chegar as coisas",['SHEIN'],None,[],[],[],[],1
83,2021-05-04 12:43:13,Toda vez que eu vejo Nubank nos trending me sobe uma agonia de medo de ser uma notícia ruim &amp; catastrófica.,['Nubank'],Idris,[],[],[],[],1
85,2021-05-04 12:43:31,@IsisOfMine @Rodrigolps_ @nubank Vc tem q pagar no dia ou um dia antes,['Nubank'],None,[],[],[],"[{'screen_name': 'IsisOfMine', 'name': 'Isah', 'id': 1287055173542715395, 'id_str': '1287055173542715395', 'indices': [0, 11]}, {'screen_name': 'Rodrigolps_', 'name': 'lovezinho', 'id': 487731479, 'id_str': '487731479', 'indices': [12, 24]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [25, 32]}]",1
87,2021-05-04 12:44:11,ia comprar meu presente de aniversário no shopping mas acho q vou pegar no site da nike,['Nike'],Brasil,[],[],[],[],1
89,2021-05-04 12:44:14,"ai @nubank tou vendo várias postagens de pessoas que tiveram seus limites aumentados hoje, tou esquecido no churrasco? 😩",['Nubank'],Brasil,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [3, 10]}]",1
90,2021-05-04 12:44:22,"@nubank bem que podia aumentar meu limite ein, eu pago tudo certinho",['Nubank'],"São Luís, Brasil",[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",1
91,2021-05-04 12:44:47,C6 é bem melhor que Nubank,['Nubank'],"Belo Horizonte, Brasil",[],[],[],[],1
93,2021-05-04 12:45:21,eu acho q guaraná antártica pisa mt em coca-cola,['Coca-cola'],"Recife, Brasil",[],[],[],"[{'screen_name': 'cxiovinicius', 'name': 'atlas', 'id': 1078070813641838592, 'id_str': '1078070813641838592', 'indices': [3, 16]}]",1
94,2021-05-04 12:45:44,to na duvida se vale mais a pena comprar roupa na shein ou na wish,['SHEIN'],None,[],[],[],[],1
96,2021-05-04 12:45:53,Montei a seleção da Nike pra pegar esse time contra 21:00,['Nike'],Em outro patamar / Nilópolis,[],[],[],[],1
97,2021-05-04 12:45:53,Gostosoooo,[],"Nilocrime, RJ",[],[],[],"[{'screen_name': 'jenifersantos34', 'name': 'Jeninha🔥', 'id': 472399370, 'id_str': '472399370', 'indices': [3, 19]}]",1
99,2021-05-04 12:46:01,Nubank aumentando meu limite é mó perigo kkkk,['Nubank'],Embu,[],[],[],[],1
100,2021-05-04 12:46:05,"@RafaelF73578867 @BlogdoSaoPaulo @centauroesporte @sigaNetshoes @adidasbrasil @Nike Vendas da Nike, são exclusivas da Centauro! #informei",['Nike'],São Paulo - SP,"[{'text': 'informei', 'indices': [128, 137]}]",[],[],"[{'screen_name': 'RafaelF73578867', 'name': 'Rafael Felipe', 'id': 1213451510866038784, 'id_str': '1213451510866038784', 'indices': [0, 16]}, {'screen_name': 'BlogdoSaoPaulo', 'name': 'saopauloblog ❤🤍🖤', 'id': 27694036, 'id_str': '27694036', 'indices': [17, 32]}, {'screen_name': 'centauroesporte', 'name': 'centauroesporte', 'id': 17678527, 'id_str': '17678527', 'indices': [33, 49]}, {'screen_name': 'sigaNetshoes', 'name': 'Netshoes', 'id': 44447786, 'id_str': '44447786', 'indices': [50, 63]}, {'screen_name': 'adidasbrasil', 'name': 'adidasbrasil', 'id': 42894971, 'id_str': '42894971', 'indices': [64, 77]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [78, 83]}]",1
101,2021-05-04 12:46:18,mto lindo q inferno,[],"Nilocrime, RJ",[],[],[],"[{'screen_name': 'lightskinnalice', 'name': 'rainha do love song', 'id': 861180256568397824, 'id_str': '861180256568397824', 'indices': [3, 19]}]",1
102,2021-05-04 12:46:25,Fazendo umas comprinhas na shein,['SHEIN'],"Colômbia, Brasil",[],[],[],[],1
103,2021-05-04 12:46:27,"tamo juntão nubank, pode aumentar mais esse limite",['Nubank'],"Aracaju, Brasil",[],[],[],[],1
107,2021-05-04 12:47:19,@rafaamarqss Ijsdjskskskskakka o pijama era da shein?,['SHEIN'],None,[],[],[],"[{'screen_name': 'rafaamarqss', 'name': 'rafa do vigor', 'id': 981542997958561792, 'id_str': '981542997958561792', 'indices': [0, 12]}]",1
108,2021-05-04 12:47:24,só qria ta saindo com ela cm nois dois trajados de Nike,['Nike'],None,[],[],[],[],1
109,2021-05-04 12:47:30,@hesceleb shein ne filhao KKKK quem me dera ter dinheiro pra comprar coisa na gucci ou prada,['SHEIN'],only harry,[],[],[],"[{'screen_name': 'hesceleb', 'name': 'guh| Chester e Farofa', 'id': 1370818401485086724, 'id_str': '1370818401485086724', 'indices': [0, 9]}]",1
110,2021-05-04 12:47:39,ok agora tudo que eu quero é um nike pixelado 🥵,['Nike'],None,[],[],[],[],1
111,2021-05-04 12:47:39,só qria ta saindo cm ele cm nois dois trajados de Nike,['Nike'],None,[],[],[],[],1
113,2021-05-04 12:47:52,"@PauloRMelo Algumas empresas com bastante Elixir: Delivery Center, Bcredi, Stone, Nubank, Magnetis, SumUp, Trybe",['Nubank'],"Curitiba, Brazil",[],[],[],"[{'screen_name': 'PauloRMelo', 'name': 'Paulo Melo', 'id': 61281540, 'id_str': '61281540', 'indices': [0, 11]}]",1
114,2021-05-04 12:48:22,"@lorenachss Aqui tb, até a própria SHEIN tá mais atualizada",['SHEIN'],None,[],[],[],"[{'screen_name': 'lorenachss', 'name': '𝕷𝖔𝖗𝖊𝖓𝖆', 'id': 340021930, 'id_str': '340021930', 'indices': [0, 11]}]",1
115,2021-05-04 12:48:59,e aí nubank vai aumentar meu limite não?,['Nubank'],"São Paulo, Brasil",[],[],[],[],1
116,2021-05-04 12:49:03,"Depois de 5 meses com o cartão de débito da nubank, hoje eles liberaram o de crédito com o limite de 200 reais rs! Até q enfim🙏🏼",['Nubank'],None,[],[],[],[],1
117,2021-05-04 12:48:58,shein é confiável gente?,['SHEIN'],Brazil,[],[],[],[],1
123,2021-05-04 12:50:03,eu só queria conseguir para de tomar Coca Cola mds,['Coca cola'],"Jaraguá do Sul, Brasil",[],[],[],[],1
126,2021-05-04 12:50:30,tem uma hora que tô presa na shein olhando roupa,['SHEIN'],𝐉𝐈𝐌𝐈𝐍. 친절하고 사랑스러운 ❥︎ 섹시하고 귀여운 지민이 ... 🜲   그것은 소년 ♡︎ 강하고 재능있는 ✩,[],[],[],[],1
127,2021-05-04 12:50:31,@LaraHino_ o q é shein?,['SHEIN'],None,[],[],[],"[{'screen_name': 'LaraHino_', 'name': 'Lara', 'id': 1172675605, 'id_str': '1172675605', 'indices': [0, 10]}]",1
130,2021-05-04 13:01:42,"#Nubank 

Preciso de 10 mil de limite 

Nunca pedi nada pra vcs 🤣",['Nubank'],None,"[{'text': 'Nubank', 'indices': [17, 24]}]",[],[],"[{'screen_name': 'luizamodell', 'name': 'Maria Luíza 💋', 'id': 1167037029672202240, 'id_str': '1167037029672202240', 'indices': [3, 15]}]",1
135,2021-05-04 13:02:33,nubank bem que podia me dar um limite de 50000,['Nubank'],"Maceió, Brasil",[],[],[],[],1
139,2021-05-04 13:03:23,Meu dedinho ta coçando pra finalizar meu carrinho de compras na shein,['SHEIN'],None,[],[],[],[],1
141,2021-05-04 13:04:14,O dia que o @nubank aumentar o meu limite vai ser um milagre e tanto...,['Nubank'],#she/her,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [12, 19]}]",1
142,2021-05-04 13:04:16,único relacionamento tóxico que eu tenho é com o nubank,['Nubank'],"Araporã, Brasil",[],[],[],"[{'screen_name': 'Jean_CarlossR', 'name': 'Jean', 'id': 1010430409644093441, 'id_str': '1010430409644093441', 'indices': [3, 17]}]",1
143,2021-05-04 13:04:15,pensando em compra uma calça da shein sera,['SHEIN'],＠lena,[],[],[],[],1
144,2021-05-04 13:04:17,Vcs reclamando da Nubank e eu super feliz q meu crédito foi de 50 reais pra 70 🤡🤡🤡,['Nubank'],None,[],[],[],[],1
145,2021-05-04 13:04:48,Os meus 800 pontos da SHEIN voltaram 🥰,['SHEIN'],🌸Portugal,[],[],[],[],1
146,2021-05-04 13:04:34,exercendo minha burguesia e fazendo comprinhas na shein,['SHEIN'],None,[],[],[],[],1
147,2021-05-04 13:04:53,ainda bem q q nubank n aumentou meu limite igual de um pessoal aí 800 conto pra mim já é muito,['Nubank'],None,[],[],[],[],1
150,2021-05-04 13:05:08,"Frio bom pra continuar na cama, maaaas... os kit da Nike não cai do céu ne parça, bora trabalhar",['Nike'],"Brasília, Brasil",[],[],[],[],1
152,2021-05-04 13:05:25,@BNakamatsu Xiii mudando de assunto eu to criando uma conta no nubank deposita 25 mil aqui rapidao so pra eu ver se ta funcionando normal,['Nubank'],None,[],[],[],"[{'screen_name': 'BNakamatsu', 'name': 'Bia Nakamatsu', 'id': 1261374350537691142, 'id_str': '1261374350537691142', 'indices': [0, 11]}]",1
153,2021-05-04 13:05:33,nao to enchendo o carrinho da shein nao,['SHEIN'],None,[],[],[],[],1
154,2021-05-04 13:05:35,"@scarlagabs eu tava em dúvida entre as duas mesmo! Pra PF a Nubank é ótima, mas não vi muita vantagem pra PJ.",['Nubank'],Juiz de Fora - MG,[],[],[],"[{'screen_name': 'scarlagabs', 'name': 'gabs', 'id': 1006941098265272322, 'id_str': '1006941098265272322', 'indices': [0, 11]}]",1
155,2021-05-04 13:05:48,E a Nubank segue aumentando mais e mais o meu crédito,['Nubank'],None,[],[],[],[],1
156,2021-05-04 13:05:53,"próximo carnaval eu irei passar com o umbigo furado, copinho pendurado no ombro, nike no pé e fantasia de jasmine, me aguardem",['Nike'],None,[],[],[],[],1
158,2021-05-04 13:10:45,@ninaoliveira___ @nubank Quando eu fiz o objetivo era esse tbm kkkkk,['Nubank'],None,[],[],[],"[{'screen_name': 'ninaoliveira___', 'name': 'ninoca do vigor', 'id': 1147254367101378565, 'id_str': '1147254367101378565', 'indices': [0, 16]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [17, 24]}]",1
159,2021-05-04 13:10:46,@Jeffers57695378 Onde fez essa tatuagem da nike refletida? braba💪,['Nike'],santissimo city,[],[],[],"[{'screen_name': 'Jeffers57695378', 'name': 'Neguinho café', 'id': 1138650505880711170, 'id_str': '1138650505880711170', 'indices': [0, 16]}]",1
160,2021-05-04 13:10:49,@nubank aumenta meu limite,['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",1
163,2021-05-04 13:10:52,Verde na mente Nike no pé,['Nike'],None,[],[],[],[],1
164,2021-05-04 13:11:04,@nubank responde dm rapaz,['Nubank'],None,[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",1
169,2021-05-04 13:11:26,@Xetdoinvesting @nubank tão falando de ti aqui,['Nubank'],"São Luís, Brasil",[],[],[],"[{'screen_name': 'Xetdoinvesting', 'name': 'Xet do investing', 'id': 1225433724004728832, 'id_str': '1225433724004728832', 'indices': [0, 15]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [16, 23]}]",1
170,2021-05-04 13:11:27,queria um bolo de cenoura com cobertura de chocolate e uma coca cola gelada 🤤,['Coca cola'],"Resende, Brasil",[],[],[],[],1
171,2021-05-04 13:11:35,@_gabriel_geno_ ela e da shein,['SHEIN'],"São Bernardo do Campo, Brasil",[],[],[],"[{'screen_name': '_gabriel_geno_', 'name': 'geno', 'id': 1132689273700929536, 'id_str': '1132689273700929536', 'indices': [0, 15]}]",1
172,2021-05-04 13:11:36,@imnotlyarax é da shein mas eu nao acho ela la vei,['SHEIN'],None,[],[],[],"[{'screen_name': 'imnotlyarax', 'name': 'ly random', 'id': 1183491845650894848, 'id_str': '1183491845650894848', 'indices': [0, 12]}]",1
173,2021-05-04 13:11:49,vou até dar uma olhadinha no meu nubank aq pfvr roxinho aumenta meu limite pra 1000 conto mesmo eu n ganhando 1 real por mes,['Nubank'],None,[],[],[],[],1
175,2021-05-04 13:11:56,Boticário coloca o sérum novo da Manu em promoção e eu digo se esperava ou não,['Boticário'],None,[],[],[],[],1
178,2021-05-04 13:12:11,muita vtd d beber uma coca cola bem gelada 😡,['Coca cola'],-♥ final contente 😝,[],[],[],[],1
179,2021-05-04 13:12:43,@nubank Cadê o #ApplePay????,['Nubank'],None,"[{'text': 'ApplePay', 'indices': [15, 24]}]",[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",1
180,2021-05-04 13:12:51,@ouotison @nubank Qual foi o concorrente????,['Nubank'],Ovelhas negras,[],[],[],"[{'screen_name': 'ouotison', 'name': 'Watson Andrade', 'id': 3245501200, 'id_str': '3245501200', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}]",1
184,2021-05-04 13:13:11,"sonhei que tava comendo coxinha e tomando coca-cola e do nada DO NADA nicole kidman entrou em meu sonho pra ir comprar também, aí a moça do caixa tava mó confusa com meu dinheiro, a nicole se meteu pra contar o meu dinheiro pra mulher e eu mandei ela tomar conta da vida dela",['Coca-cola'],moscow,[],[],[],[],1
185,2021-05-04 13:13:11,"@nubank WWERRRRAAAAARRAARRRRRR

Tradução: aumenta meu limite 👀

Brincadeira, não precisa, mas se quiser tô aceitando 👀😁",['Nubank'],"São Paulo, Brasil",[],[],[],"[{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}]",1
188,2021-05-04 13:13:26,"@_gabriel_geno_ tem que ser na shein? é que quando coloquei no google só aparaceu aliexpress, amazon e algumas outras",['SHEIN'],tua glória é lutar.,[],[],[],"[{'screen_name': '_gabriel_geno_', 'name': 'geno', 'id': 1132689273700929536, 'id_str': '1132689273700929536', 'indices': [0, 15]}]",1
190,2021-05-04 13:13:32,"@fadinhadd @nubank É de uma corretora de valores, a @modalmais",['Nubank'],"Goiânia, Brasil",[],[],[],"[{'screen_name': 'fadinhadd', 'name': 'princesinha ?', 'id': 53802795, 'id_str': '53802795', 'indices': [0, 10]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [11, 18]}, {'screen_name': 'modalmais', 'name': 'modalmais', 'id': 2578778256, 'id_str': '2578778256', 'indices': [52, 62]}]",1
191,2021-05-04 13:13:36,"Papo reto:
Pago R$200 pra quem me emprestar o cartão de crédito pra eu comprar um celular pra conseguir trabalhar. Sou uma excelente pagadora (explico na dm o pq), só não compro do meu pq a @nubank me deu um limite muito baixo 😭",['Nubank'],None,[],[],[],"[{'screen_name': 'EshHaughton', 'name': '☀️🧡Eshiley Haughton 👑⚡🏆', 'id': 1168737090831560704, 'id_str': '1168737090831560704', 'indices': [3, 15]}]",1
192,2021-05-04 13:13:38,"Nubank aumentou o limite do meu marido que tá desempregado, mas o meu não

Carteira assinada pra que?🤡🤡",['Nubank'],"São José dos Campos, Brasil",[],[],[],[],1
195,2021-05-04 13:13:44,"Ainda bem que a Nubank não aumentou o meu limite pq eu não tenho dinheiro pra sustentar nem oq tenho, imagina mais kk",['Nubank'],"Campo Grande, Rio de Janeiro",[],[],[],[],1
197,2021-05-04 13:14:02,Doida pro cartão virar pra comprar na Shein. Carrinho tá cada vez mais barrotado 😳,['SHEIN'],None,[],[],[],[],1
199,2021-05-04 13:14:05,"Nubank aumentando meu limite é o sinal que eu precisava pra montar um computador novo

Só falta arrumar um emprego pós formatura mesmo",['Nubank'],"Rio de Janeiro, Brasil",[],[],[],[],1
201,2021-05-04 13:14:15,@ninparra @nubank Amiga eu recebo meu salário por ali kkkkkkkk tudo,['Nubank'],None,[],[],[],"[{'screen_name': 'ninparra', 'name': 'banana', 'id': 1164563484606119936, 'id_str': '1164563484606119936', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}]",1
203,2021-05-04 13:14:28,@ouotison @nubank @modalmais Tô precisando de fazer mais cartões será que eles me liberam + que nu tbm ?,['Nubank'],Ovelhas negras,[],[],[],"[{'screen_name': 'ouotison', 'name': 'Watson Andrade', 'id': 3245501200, 'id_str': '3245501200', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}, {'screen_name': 'modalmais', 'name': 'modalmais', 'id': 2578778256, 'id_str': '2578778256', 'indices': [18, 28]}]",1
204,2021-05-04 13:14:46,@Andrezzin_cec @nubank kkkkkkkkno fundo eu agradeço por n aumentar,['Nubank'],"Contagem, Brasil",[],[],[],"[{'screen_name': 'Andrezzin_cec', 'name': 'Mendes 🦊🇮🇹', 'id': 2324338861, 'id_str': '2324338861', 'indices': [0, 14]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [15, 22]}]",1
