,_id,created_at,tweet_content,keyword,user_location,entities,classified
16,ObjectId(6091f3547ef2d107a44055dc),2021-05-04 12:32:55,aprovar r dar paz pix mensagem,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}], 'symbols': []}",1.0
17,ObjectId(6091f3547ef2d107a44055dd),2021-05-04 12:32:59,viciar,['SHEIN'],"Windermere, FL","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
20,ObjectId(6091f3547ef2d107a44055e0),2021-05-04 12:33:42,sonho parar tomar,['Coca-cola'],Anápolis,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'brennersbueno', 'name': 'Brenner Bueno', 'id': 907328271406247937, 'id_str': '907328271406247937', 'indices': [3, 17]}], 'symbols': []}",1.0
21,ObjectId(6091f3547ef2d107a44055e1),2021-05-04 12:34:12,pare pf sentir obrigação gastar,['Nubank'],"Goiânia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
22,ObjectId(6091f3547ef2d107a44055e2),2021-05-04 12:34:13,dobrar novo,['Nubank'],Roo / Cba,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
23,ObjectId(6091f3547ef2d107a44055e3),2021-05-04 12:34:13,aplicativo bom incluir deezer nele,['Nike'],recife,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
24,ObjectId(6091f3547ef2d107a44055e4),2021-05-04 12:34:16,liberar limites menos entender pagar dias antes fatura vencer,['Nubank'],"Engenho da Rainha, Rio de Jane","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [122, 129]}], 'symbols': []}",1.0
25,ObjectId(6091f3547ef2d107a44055e5),2021-05-04 12:34:18,aumentar nada socorro,['Nubank'],Brasília,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
26,ObjectId(6091f3547ef2d107a44055e6),2021-05-04 12:34:21,aprovar r dar pix mensagem,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [46, 53]}], 'symbols': []}",1.0
27,ObjectId(6091f3547ef2d107a44055e7),2021-05-04 12:34:22,vir topico olhar geral falar aumentar,['Nubank'],13,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
28,ObjectId(6091f3547ef2d107a44055e8),2021-05-04 12:34:35,sexta feira pprt,['Nike'],Itaboraí,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
29,ObjectId(6091f3547ef2d107a44055e9),2021-05-04 12:35:07,caí mundinho perdido amar,['SHEIN'],Curitiba - PR,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
31,ObjectId(6091f3547ef2d107a44055eb),2021-05-04 12:35:36,frifasnews cara blusa,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'frifasnews', 'name': 'FRIFAS NEW’S', 'id': 1299343628985413633, 'id_str': '1299343628985413633', 'indices': [0, 11]}], 'symbols': []}",1.0
33,ObjectId(6091f3547ef2d107a44055ed),2021-05-04 12:35:38,deus comprar muita coisa kkkkkkkkkkkk falir,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
34,ObjectId(6091f3547ef2d107a44055ee),2021-05-04 12:35:40,hora roupa outra hora roupa time outra conjunto cyclone i vezes piercing umbigo,['SHEIN'],19,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
35,ObjectId(6091f3547ef2d107a44055ef),2021-05-04 12:35:48,,['Nike'],cxs,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
36,ObjectId(6091f3547ef2d107a44055f0),2021-05-04 12:35:47,pessoal comentar aumento crédito lembrar aumenta reais ainda saber bom ruim,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
38,ObjectId(6091f3547ef2d107a44055f2),2021-05-04 12:36:13,roupas chegar ansiosa,['SHEIN'],"Aracaju, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
39,ObjectId(6091f3547ef2d107a44055f3),2021-05-04 12:36:13,alguém saber consigo fone luís daqueles fio massa precinho legal ps site,['Xiaomi'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
40,ObjectId(6091f3547ef2d107a44055f4),2021-05-04 12:36:18,nao pedir cara assim ajuda,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
41,ObjectId(6091f3547ef2d107a44055f5),2021-05-04 12:36:20,tiagogreis microsoft super difícil criar patente vicia ambev,['Coca-cola'],Aracaju,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Tiagogreis', 'name': 'Tiago Guitián Reis', 'id': 2428055045, 'id_str': '2428055045', 'indices': [0, 11]}], 'symbols': []}",1.0
43,ObjectId(6091f3547ef2d107a44055f7),2021-05-04 12:36:31,cenas chegar wlduejbshd,['SHEIN'],she/her,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
44,ObjectId(6091f3547ef2d107a44055f8),2021-05-04 12:36:30,aumentar reais algo,['Nubank'],krakoa,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
45,ObjectId(6091f3547ef2d107a44055f9),2021-05-04 12:36:32,além agr viciar comprinhas enjoei scr,['SHEIN'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
48,ObjectId(6091f3547ef2d107a44055fc),2021-05-04 12:37:23,vontadezinha véa besta pegar mil reais dizer disponível empréstimo fugir país,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
49,ObjectId(6091f3547ef2d107a44055fd),2021-05-04 12:37:32,aumentar confia hahahahaah,['Nubank'],"Icuí City, Ananindeua, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
52,ObjectId(6091f3547ef2d107a4405600),2021-05-04 12:38:18,bom aumente,['Nubank'],"Camp Nou, Salvador","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
53,ObjectId(6091f3547ef2d107a4405601),2021-05-04 12:37:56,aumentar reais olhar diabo agir,['Nubank'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
56,ObjectId(6091f3547ef2d107a4405604),2021-05-04 12:38:58,aumentar mil digo esperar nao,['Nubank'],hogwarts,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
59,ObjectId(6091f3547ef2d107a4405607),2021-05-04 12:39:49,aproveitar bora cobrar apple pay promessa fim ano,['Nubank'],Vitória da Conquista,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [19, 26]}], 'symbols': []}",1.0
60,ObjectId(6091f3547ef2d107a4405608),2021-05-04 12:39:49,fridasdaughter sigo paz sendo testemunha,['Xiaomi'],Ilha de Lesbos,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'fridasdaughter', 'name': 'lu', 'id': 1275661284055400450, 'id_str': '1275661284055400450', 'indices': [0, 15]}], 'symbols': []}",1.0
61,ObjectId(6091f3547ef2d107a4405609),2021-05-04 12:39:55,interessar poder novo projeto hugmeclub loja virtual trabalhar produtos nacionais importados diversos setores originais marcas renomadas calvin klein tommy hilfiger michael kors carter dentre outras,['Nike'],"Belo Horizonte, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ramaodamassa', 'name': 'Ramon', 'id': 55749053, 'id_str': '55749053', 'indices': [3, 16]}, {'screen_name': 'HugMeClub', 'name': 'Hug Me Club', 'id': 177844326, 'id_str': '177844326', 'indices': [72, 82]}], 'symbols': []}",1.0
62,ObjectId(6091f3547ef2d107a440560a),2021-05-04 12:39:56,alô rolar aumento lembrar quelu mutuuuu,['Nubank'],Rio de Janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [4, 11]}], 'symbols': []}",1.0
65,ObjectId(6091f3547ef2d107a440560d),2021-05-04 12:40:17,datilografa virgem gostar,['Coca-cola'],Pará,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
66,ObjectId(6091f3547ef2d107a440560e),2021-05-04 12:40:19,redmi note igual,['Xiaomi'],São Paulo - BR | Porto - PT,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'P0ssuidao', 'name': 'João Freire', 'id': 1888938691, 'id_str': '1888938691', 'indices': [0, 10]}], 'symbols': []}",1.0
70,ObjectId(6091f3547ef2d107a4405612),2021-05-04 12:40:34,movimenta conta conseguir cartão nome sujo conseguir,['Nubank'],"São Gonçalo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'mviana98_', 'name': 'Viana', 'id': 2287348307, 'id_str': '2287348307', 'indices': [0, 10]}], 'symbols': []}",1.0
71,ObjectId(6091f3547ef2d107a4405613),2021-05-04 12:40:51,comprinhas brasil quanto tempo entregar,['SHEIN'],cwb,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
75,ObjectId(6091f3547ef2d107a4405618),2021-05-04 12:41:43,ackisamayra resposta sempre triste,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}, {'screen_name': 'AckisaMayra', 'name': 'Áckisa Octa (33-32)🧚🏼\u200d♀️✭', 'id': 1531346412, 'id_str': '1531346412', 'indices': [8, 20]}], 'symbols': []}",1.0
81,ObjectId(6091f3547ef2d107a440561e),2021-05-04 12:42:48,achar pai iria pagar boleto bonzinho lá ficar ansiosa chegar coisas,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
83,ObjectId(6091f3547ef2d107a4405620),2021-05-04 12:43:13,toda vez vejo trending subir agoniar medo notícia ruim amp catastrófica,['Nubank'],Idris,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
85,ObjectId(6091f3547ef2d107a4405622),2021-05-04 12:43:31,isisofmine rodrigolps _ pagar dia dia antes,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'IsisOfMine', 'name': 'Isah', 'id': 1287055173542715395, 'id_str': '1287055173542715395', 'indices': [0, 11]}, {'screen_name': 'Rodrigolps_', 'name': 'lovezinho', 'id': 487731479, 'id_str': '487731479', 'indices': [12, 24]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [25, 32]}], 'symbols': []}",1.0
87,ObjectId(6091f3547ef2d107a4405624),2021-05-04 12:44:11,ia presente aniversário shopping achar pegar site,['Nike'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
89,ObjectId(6091f3547ef2d107a4405626),2021-05-04 12:44:14,ver várias postagens pessoas limites aumentar esquecido churrasco,['Nubank'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [3, 10]}], 'symbols': []}",1.0
90,ObjectId(6091f3547ef2d107a4405627),2021-05-04 12:44:22,bem poder ein pagar certinho,['Nubank'],"São Luís, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
91,ObjectId(6091f3547ef2d107a4405628),2021-05-04 12:44:47,bem melhor,['Nubank'],"Belo Horizonte, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
93,ObjectId(6091f3547ef2d107a440562a),2021-05-04 12:45:21,achar guaraná antártica pisar,['Coca-cola'],"Recife, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'cxiovinicius', 'name': 'atlas', 'id': 1078070813641838592, 'id_str': '1078070813641838592', 'indices': [3, 16]}], 'symbols': []}",1.0
94,ObjectId(6091f3547ef2d107a440562b),2021-05-04 12:45:44,duvida valer pena roupa wish,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
96,ObjectId(6091f3547ef2d107a440562d),2021-05-04 12:45:53,montar seleção pegar time contra,['Nike'],Em outro patamar / Nilópolis,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
99,ObjectId(6091f3547ef2d107a4405630),2021-05-04 12:46:01,aumentar perigo,['Nubank'],Embu,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
100,ObjectId(6091f3547ef2d107a4405631),2021-05-04 12:46:05,blogdosaopaulo centauroesporte siganetshoes adidasbrasil vendas exclusivas centauro informei,['Nike'],São Paulo - SP,"{'hashtags': [{'text': 'informei', 'indices': [128, 137]}], 'urls': [], 'user_mentions': [{'screen_name': 'RafaelF73578867', 'name': 'Rafael Felipe', 'id': 1213451510866038784, 'id_str': '1213451510866038784', 'indices': [0, 16]}, {'screen_name': 'BlogdoSaoPaulo', 'name': 'saopauloblog ❤🤍🖤', 'id': 27694036, 'id_str': '27694036', 'indices': [17, 32]}, {'screen_name': 'centauroesporte', 'name': 'centauroesporte', 'id': 17678527, 'id_str': '17678527', 'indices': [33, 49]}, {'screen_name': 'sigaNetshoes', 'name': 'Netshoes', 'id': 44447786, 'id_str': '44447786', 'indices': [50, 63]}, {'screen_name': 'adidasbrasil', 'name': 'adidasbrasil', 'id': 42894971, 'id_str': '42894971', 'indices': [64, 77]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [78, 83]}], 'symbols': []}",1.0
102,ObjectId(6091f3547ef2d107a4405633),2021-05-04 12:46:25,fazer comprinhas,['SHEIN'],"Colômbia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
103,ObjectId(6091f3547ef2d107a4405634),2021-05-04 12:46:27,tamo juntão poder,['Nubank'],"Aracaju, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
107,ObjectId(6091f3547ef2d107a4405638),2021-05-04 12:47:19,rafaamarqss ijsdjskskskskakka pijama,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'rafaamarqss', 'name': 'rafa do vigor', 'id': 981542997958561792, 'id_str': '981542997958561792', 'indices': [0, 12]}], 'symbols': []}",1.0
108,ObjectId(6091f3547ef2d107a4405639),2021-05-04 12:47:24,qria sair cm dois trajados,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
109,ObjectId(6091f3547ef2d107a440563a),2021-05-04 12:47:30,hesceleb filhao dar ter dinheiro coisa gucci prada,['SHEIN'],only harry,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'hesceleb', 'name': 'guh| Chester e Farofa', 'id': 1370818401485086724, 'id_str': '1370818401485086724', 'indices': [0, 9]}], 'symbols': []}",1.0
110,ObjectId(6091f3547ef2d107a440563b),2021-05-04 12:47:39,ok agora pixelado,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
111,ObjectId(6091f3547ef2d107a440563c),2021-05-04 12:47:39,qria sair cm cm dois trajados,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
113,ObjectId(6091f3547ef2d107a440563e),2021-05-04 12:47:52,paulormelo algumas empresas bastante elixir delivery center bcredi stone magnetis sumup trybe,['Nubank'],"Curitiba, Brazil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'PauloRMelo', 'name': 'Paulo Melo', 'id': 61281540, 'id_str': '61281540', 'indices': [0, 11]}], 'symbols': []}",1.0
114,ObjectId(6091f3547ef2d107a440563f),2021-05-04 12:48:22,lorenachss tb própria atualizada,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'lorenachss', 'name': '𝕷𝖔𝖗𝖊𝖓𝖆', 'id': 340021930, 'id_str': '340021930', 'indices': [0, 11]}], 'symbols': []}",1.0
115,ObjectId(6091f3547ef2d107a4405640),2021-05-04 12:48:59,,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
116,ObjectId(6091f3547ef2d107a4405641),2021-05-04 12:49:03,meses cartão débito liberar crédito reais rs enfim,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
117,ObjectId(6091f3547ef2d107a4405642),2021-05-04 12:48:58,confiável,['SHEIN'],Brazil,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
123,ObjectId(6091f3547ef2d107a4405649),2021-05-04 12:50:03,conseguir tomar mds,['Coca-cola'],"Jaraguá do Sul, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
126,ObjectId(6091f3547ef2d107a440564c),2021-05-04 12:50:30,hora presa olhar roupa,['SHEIN'],𝐉𝐈𝐌𝐈𝐍. 친절하고 사랑스러운 ❥︎ 섹시하고 귀여운 지민이 ... 🜲   그것은 소년 ♡︎ 강하고 재능있는 ✩,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
127,ObjectId(6091f3547ef2d107a440564d),2021-05-04 12:50:31,larahino _,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'LaraHino_', 'name': 'Lara', 'id': 1172675605, 'id_str': '1172675605', 'indices': [0, 10]}], 'symbols': []}",1.0
130,ObjectId(6091f3547ef2d107a4405651),2021-05-04 13:01:42,preciso mil nunca pedir nada,['Nubank'],None,"{'hashtags': [{'text': 'Nubank', 'indices': [17, 24]}], 'urls': [], 'user_mentions': [{'screen_name': 'luizamodell', 'name': 'Maria Luíza 💋', 'id': 1167037029672202240, 'id_str': '1167037029672202240', 'indices': [3, 15]}], 'symbols': []}",1.0
135,ObjectId(6091f3547ef2d107a4405656),2021-05-04 13:02:33,bem poder dar,['Nubank'],"Maceió, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
139,ObjectId(6091f3547ef2d107a440565a),2021-05-04 13:03:23,dedinho coçar finalizar carrinho compras,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
141,ObjectId(6091f3547ef2d107a440565c),2021-05-04 13:04:14,dia milagre tanto,['Nubank'],#she/her,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [12, 19]}], 'symbols': []}",1.0
142,ObjectId(6091f3547ef2d107a440565d),2021-05-04 13:04:16,único relacionamento tóxico,['Nubank'],"Araporã, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Jean_CarlossR', 'name': 'Jean', 'id': 1010430409644093441, 'id_str': '1010430409644093441', 'indices': [3, 17]}], 'symbols': []}",1.0
143,ObjectId(6091f3547ef2d107a440565e),2021-05-04 13:04:15,pensar compra calça sera,['SHEIN'],＠lena,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
144,ObjectId(6091f3547ef2d107a440565f),2021-05-04 13:04:17,reclamar super feliz crédito reais,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
145,ObjectId(6091f3547ef2d107a4405660),2021-05-04 13:04:48,pontos voltar,['SHEIN'],🌸Portugal,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
146,ObjectId(6091f3547ef2d107a4405661),2021-05-04 13:04:34,exercer burguesia fazer comprinhas,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
147,ObjectId(6091f3547ef2d107a4405662),2021-05-04 13:04:53,ainda bem aumentar igual pessoal conto,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
150,ObjectId(6091f3547ef2d107a4405665),2021-05-04 13:05:08,frio bom continuar cama maaaas kit cair céu parça bora trabalhar,['Nike'],"Brasília, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
152,ObjectId(6091f3547ef2d107a4405667),2021-05-04 13:05:25,bnakamatsu xiii mudar assunto criar conta deposita mil rapidao ver funcionar normal,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'BNakamatsu', 'name': 'Bia Nakamatsu', 'id': 1261374350537691142, 'id_str': '1261374350537691142', 'indices': [0, 11]}], 'symbols': []}",1.0
153,ObjectId(6091f3547ef2d107a4405668),2021-05-04 13:05:33,nao encher carrinho nao,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
154,ObjectId(6091f3547ef2d107a4405669),2021-05-04 13:05:35,scarlagabs dúvida duas pf ótima vir muita vantagem pj,['Nubank'],Juiz de Fora - MG,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'scarlagabs', 'name': 'gabs', 'id': 1006941098265272322, 'id_str': '1006941098265272322', 'indices': [0, 11]}], 'symbols': []}",1.0
155,ObjectId(6091f3547ef2d107a440566a),2021-05-04 13:05:48,seguir aumentar crédito,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
156,ObjectId(6091f3547ef2d107a440566b),2021-05-04 13:05:53,próximo carnaval irar passar umbigo furado copinho pendurar ombro pé fantasiar jasmine aguardar,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
158,ObjectId(6091f3547ef2d107a440566d),2021-05-04 13:10:45,ninaoliveira _ _ _ fazer objetivo,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ninaoliveira___', 'name': 'ninoca do vigor', 'id': 1147254367101378565, 'id_str': '1147254367101378565', 'indices': [0, 16]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [17, 24]}], 'symbols': []}",1.0
159,ObjectId(6091f3547ef2d107a440566e),2021-05-04 13:10:46,fazer tatuagem refletida braba,['Nike'],santissimo city,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Jeffers57695378', 'name': 'Neguinho café', 'id': 1138650505880711170, 'id_str': '1138650505880711170', 'indices': [0, 16]}], 'symbols': []}",1.0
160,ObjectId(6091f3547ef2d107a440566f),2021-05-04 13:10:49,aumentar,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
163,ObjectId(6091f3547ef2d107a4405672),2021-05-04 13:10:52,verde mente pé,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
164,ObjectId(6091f3547ef2d107a4405673),2021-05-04 13:11:04,responder dm rapaz,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
169,ObjectId(6091f3547ef2d107a4405678),2021-05-04 13:11:26,xetdoinvesting falar,['Nubank'],"São Luís, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Xetdoinvesting', 'name': 'Xet do investing', 'id': 1225433724004728832, 'id_str': '1225433724004728832', 'indices': [0, 15]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [16, 23]}], 'symbols': []}",1.0
170,ObjectId(6091f3547ef2d107a4405679),2021-05-04 13:11:27,bolo cenoura cobertura chocolate gelar,['Coca-cola'],"Resende, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
