,tweet_content,keyword,user_location,classified
137,aumentar aumentar salário foda,['Nubank'],"Rio Grande do Sul, Brasil",0.0
140,pedir uso pagar sempre dia utilizar outros cartões porque suportar gastos poxinha,['Nubank'],Rio de Janeiro,0.0
148,vejo imaginar merda vez,['Nubank'],None,0.0
149,parar porra descontar retira dinheiro caixa,['Nubank'],None,0.0
151,lojinhas insta compra roupa vender produção exclusiva,['SHEIN'],clareira na mata - 012,0.0
157,trendings aumento abrir app atoa,['Nubank'],"Vitória, ES",0.0
161,aumento mundo continuar zero tendo usar temporário,['Nubank'],My Bieber Experience,0.0
162,ver mundo receber coisas ontem menos,['SHEIN'],Brasil,0.0
165,ódio anal site dunkzinho,['Nike'],Brazil,0.0
166,dearschafer vidar ter crédito crédito melhor vista né dona,['Nubank'],None,0.0
167,tempo irmao,['Nubank'],"Anápolis, 🇧🇷",0.0
168,eeeeguas deixar,['Nubank'],"São Luís, Brasil",0.0
174,aumentar crédito mundo bobo incrível zero reais né,['Nubank'],My Bieber Experience,0.0
176,cadê aumento,['Nubank'],"Brasília, Brasil",0.0
177,nunca aumentar bosta,['Nubank'],"Contagem, Brasil",0.0
181,sirati_joao caralho empresta,['Nubank'],None,0.0
182,alô aumentar aiii,['Nubank'],None,0.0
183,amo odeio,['Nike'],MS,0.0
186,oq aumentar mundo menos gastar filha puta,['Nubank'],South Africa,0.0
187,aumentaaaa limiteeeeeee,['Nubank'],Ovelhas negras,0.0
189,responder evitar fadiga mandar casa caralho,['Nubank'],"Duque de Caxias, Brasil",0.0
193,esperar tanto aumento piar,['Nubank'],Brasília,0.0
194,melhorar atendimento virtual respondam dm,['Nubank'],"Recife, Brasil",0.0
196,promodelivro falto cartão crédito aprovar menos desisti vida,['Nubank'],"Pernambuco, Brasil",0.0
198,site grande lixo,['Nike'],"Itapetininga, Brasil",0.0
200,tomar cu site caralho ver odio,['Nike'],"Guarujá, Brasil",0.0
202,pagar fatura vencer dia bem adiantar percebe fazer ganhar aumento,['Nubank'],"Porciúncula, Brasil",0.0
205,cartão nunca chegar,['Nubank'],None,0.0
206,crisvector uso pumabrasil hahhahaa nazi nunca enganar,['Nike'],"São José dos Campos, Brasil",0.0
209,dever tirar cara liberar cartão crédito,['Nubank'],None,0.0
215,pedir aumento ontem dar agora entro twitter mundo ganhar,['Nubank'],None,0.0
217,xlauralima pleasenat iria anos cartão mundo falir demora séculos,['Nubank'],"Rio de Janeiro, Brasil",0.0
221,namoral aumentar disgraça ter inter msm porra,['Nubank'],"Salvador, Brasil",0.0
222,mundo ganhar aumento tendo pedir aumento recusar,['Nubank'],"Piauí, Brasil",0.0
225,agora aumentou poder pagar imaginar,['Nubank'],"Recife, Pernambuco",0.0
227,taxa saque,['Nubank'],Davi Luís 💙,0.0
231,última vez traviscote fazer música boa logo ainda certo,['Nike'],"Curitiba, Brasil",0.0
232,dia difícil taxada,['SHEIN'],"Itabira, Brasil",0.0
233,mês cancelar force agora subir preço odeio odeio,['Nike'],"Indaiatuba, Brasil",0.0
235,marabacarlos fazer la mix mateus dar certo drx kkkkkkkj,['Nubank'],"Tucuruí, Brasil",0.0
237,boonbap desde janeiro tentar desbloquear cartão alar,['Nubank'],"Rio de Janeiro, Brasil",0.0
241,fêmea continuar diminuir qm usar cropped short lindar amo estilo diferenciar,['SHEIN'],"Passos, Brasil",0.0
242,ia perder pontos á pala ellen passar durante conseguir volta,['SHEIN'],None,0.0
243,dinheiro,['Nubank'],goias,0.0
252,poder brincadeira cara,['Nubank'],None,0.0
256,email recargar celular email dizer convidar testar apple pay roxo,['Nubank'],"Mendes, Brasil",0.0
260,brendinhakonig esquecer,['Nike'],"Lorena, Brasil",0.0
261,negar compra exceder kkkkkkkkkkkkkk,['Nubank'],None,0.0
264,amo problema deixar sacar pagar taxa obrigar abrir contar lugar,['Nubank'],None,0.0
265,mauriciocola incrível sente prazer cagar camisas aproveitamento impressionante,['Nike'],"Maceió, Brasil",0.0
268,comprar paciência nenhuma espera,['SHEIN'],Deprelândia - lagrimas,0.0
271,shorts jeans misericórdia kkkkkkkkkkk,['SHEIN'],"Rio de Janeiro, Brasil",0.0
273,horror professor usar junto,['Nike'],"Campina Grande, Brasil",0.0
277,mariaaa_juulia cadê roupas,['SHEIN'],"Paraná, Brasil",0.0
279,amaralgusman amo saber perder dinheiro irrita nível,['Nubank'],"Camaçari, Brasil",0.0
281,beber rato,['Coca-cola'],"Coronel Fabriciano, Brasil",0.0
283,ficar fria pagar,['Nubank'],Diadema SP,0.0
285,marcoslonguini europa fraca vários times pontar usar,['Nike'],Itapevi - SP,0.0
287,sonho acabar logo contrato corinthians,['Nike'],‏زكواد,0.0
288,_ padueli ricardomenezess ver preço camisa reais,['Nike'],None,0.0
289,cadê corinthians,['Nike'],Minha Casa,0.0
292,maxsepz porra usar pcr kkkkkk,['Nike'],aracaju,0.0
293,espremer universitário final semestre sair caldo preto mistura café ódio,['Coca-cola'],None,0.0
294,parecer querer envolver time futebol querer tradicionais msm,['Nike'],"Cariacica, ES",0.0
297,fazer cancelar contar uso tanto tempo sair lugar,['Nubank'],Recife,0.0
299,ótimo resolver ficar instável bem dia pagar boleto,['Nubank'],None,0.0
300,suplicar ajuda porque correr risco vidar preciso ajudar medicamentos saber aguentar forte pix pessoa gmail picpay nahnathy itau agência contar,['Nubank'],Hogsmeade,0.0
301,ent preferir,['Nike'],"Santa Catarina, Brasil",0.0
307,rato,['Coca-cola'],bh,0.0
308,indecisa lacoste fodase gastar,['Nike'],"Tremp, España",0.0
313,crianças pais mães ficar cima frequentar igreja trabalhar dia bocar fumo porta traficante portar fazer bonito pagar esbanjar vida boa desleal,['Coca-cola'],"Rio Branco, Acre",0.0
318,demorar super cair pagamento pqp,['Nubank'],"Niterói, RJ",0.0
322,comprar carrinho desânimo existencial passar,['SHEIN'],None,0.0
323,app apresentar instabilidade algum problema plataforma dever preocupar app contar pessoal,['Nubank'],"Belém, Brasil",0.0
329,começar mal toda vez bebo sentir dor forte barriga,['Coca-cola'],None,0.0
330,maior roubar vida smartphone ajude,['Xiaomi'],None,0.0
338,l_cocate gosto dms tênis feio dms,['Nike'],Guarapuava PR,0.0
340,toda vez tomar mãe lembrar celulite desistir,['Coca-cola'],"Brasília, Brasil",0.0
341,perder casaco flamengo,['Nike'],Angra dos Reis 🌴,0.0
343,puto bolso comprar roupa,['SHEIN'],21,0.0
347,pedir treco agora esperar anos chegar treco,['SHEIN'],"Cuiabá, Brasil",0.0
349,brendinhakonig uso camisa time,['Nike'],"Praia Grande, Brasil",0.0
351,guuuuhsantana duvidar melhor man,['Nubank'],"Guarujá, Brasil",0.0
355,saia pedir chegar calça pedir dias antes ainda sentido,['SHEIN'],"Cuiabá, Brasil",0.0
356,cês saber encontro blusinha gola alta ok saber enfim algum lugar vender,['SHEIN'],22,0.0
364,luhquennehen poder assistente pagar cent dia sim trabalho escravo,['SHEIN'],Loonaverse,0.0
367,odeio,['Nubank'],None,0.0
372,existir missão parar tomar refrigerante fácil dar éo goat refrigerantes,['Coca-cola'],"Sete Lagoas, Brasil",0.0
376,spfczara nunca superar ter largar,['Nike'],"São Paulo, Brasil",0.0
385,eai soltar roupas,['SHEIN'],no mundão,0.0
387,pare oferecer seguro vida oferecer empréstimo,['Nubank'],"Salvador, Brasil",0.0
391,chato notificações oferendar seguro vida,['Nubank'],BH-MG,0.0
392,vestir sula,['Nike'],"São Paulo, Brasil",0.0
394,isabollalauck terra cropped shortinho,['SHEIN'],None,0.0
396,daniellmrc poco phone top bateria mah,['Xiaomi'],None,0.0
397,ressaca desgrama vei,['Coca-cola'],None,0.0
401,cartão crédito cair dinheiro nunca va tomar cu,['Nubank'],Guaratinguetá,0.0
402,iphone andar,['Xiaomi'],None,0.0
406,vidalet _ v_montechiari sim camisa flamengo uruguaiana bermuda korova tênis,['Nike'],None,0.0
408,lekinhobala dizer manos pé desculpar quebrar corrente,['Nike'],None,0.0
411,perder noção dar alto crédito kkkkkkkkkkkkkkk,['Nubank'],"Taubaté, Brasil",0.0
417,caralho gostar tanto chuteiras preocupar,['Nike'],"Rio de Janeiro, Brasil",0.0
418,nao saber cansada ficar alterar senha porque esquecer,['Nubank'],Hogwarts,0.0
422,preciso acabar vicio chamar,['Coca-cola'],"Rio de Janeiro, Brasil",0.0
426,vei coisa chegar nunk,['SHEIN'],Mauá,0.0
427,futebol_info ataquemarketing rapaz abandonar futebol sul americano,['Nike'],"Jacarepaguá, Rj",0.0
430,ulttmaknae vei compras tao la dias odio unferno cu buceta,['SHEIN'],• ela/dela,0.0
441,escolher lingeries chorar ter mto dinheiro,['SHEIN'],Protegida por Deus,0.0
443,deixar desejar crl uniforme igual mundo,['Nike'],None,0.0
445,desistir américa sul,['Nike'],Brasil,0.0
446,preciso pagar boletos serviço pagamento boleto ar,['Nubank'],"blackreach, skyrim",0.0
447,coisado,['Nubank'],Juiz de Fora,0.0
454,app bug estranho hora pagar boletos,['Nubank'],Narnia,0.0
455,viciar,['Coca-cola'],Rio de Janeiro,0.0
458,mola feio vans usuário óleo sobre tela,['Nike'],"Jacaré, serra ",0.0
462,ruim credo maldito covid tirar paixão,['Coca-cola'],lá mesmo,0.0
463,aplicativo lento celta subir ar ligar impossível pagar boleto,['Nubank'],None,0.0
464,jahgodomingues marcoslonguini adidasbrasil underarmourbr pumabrasil mandar bem camisa seleção,['Nike'],São Paulo/Franco da Rocha,0.0
466,solicitar saber quantos pedidos estagiários devir odiar,['Nubank'],None,0.0
467,gnt provar roupas ficar tds lixo,['SHEIN'],None,0.0
472,saudável sim porra tomar copo saudável,['Coca-cola'],None,0.0
473,escolanosense nn entender geração,['Coca-cola'],"Hawkins, Indiana",0.0
474,blusa mochila,['Nike'],Completo da serrinha,0.0
475,chegar encomenda casa feliz achar roupas nemm,['SHEIN'],sina is too famous for me,0.0
476,mal entender abrir latinha,['Coca-cola'],𝐁𝐀𝐍𝐆𝐓𝐖𝐈𝐂𝐄 🍒,0.0
482,quase certeza concentrar design deixar estagiários cuidar outros times possível,['Nike'],None,0.0
484,dia pedir poder nada,['Nubank'],𝔤𝔥𝔬𝔰𝔱 𝔠𝔦𝔱𝔶,0.0
485,cobrar morde bota bermuda entender explicar pfv,['Nike'],Perguntei?,0.0
486,dinheiro plmdds reais,['Nubank'],"... ! ginny & luna ? oh right they're my daily dose of serotonin, i LOVE them ¡!",0.0
491,fazer sacola lembrar dinheiro,['SHEIN'],"Pelotas, Brasil",0.0
492,tocar mês poder gastar salário roupa,['SHEIN'],"Maringá, Brasil",0.0
493,mathiasrb ô loco limpa,['Coca-cola'],"Porto Alegre, Brasil",0.0
495,roupinhas chegar vo matar,['Nike'],Farroupilha - RS,0.0
496,nunca dor cabeça,['Xiaomi'],⠀⠀ ⠀  ⠀⠀    ⊹ ⋆ﾟ꒰ఎ ♡ ໒꒱ ⋆ﾟ⊹,0.0
498,impressão problemas processar pagamentos,['Nubank'],Rio de Janeiro - Brasil,0.0
501,lj_gfbpa certeza,['Nike'],"Curitiba, Brazil",0.0
502,perguntar fdp dar,['Nike'],None,0.0
503,futebol_info ataquemarketing ah tricolor fechar,['Nike'],"São Paulo, SP",0.0
505,obg,['SHEIN'],maclaren's pub,0.0
508,deus céu deixar pagar boletos amor sistema completamente lento travar,['Nubank'],Rio de Janeiro,0.0
515,cérebro preciso entender acesso brás divi site live conjunto fit,['Nike'],"Lagoa da Prata, Brasil",0.0
518,saber coisa celular nunca pqp começo amar agora pura porcaria miui,['Xiaomi'],None,0.0
520,boy usar coisa falir des,['Nike'],None,0.0
522,finalmente achar troxa pagar carrinho,['SHEIN'],Itabira,0.0
525,primeira compra chegar querer segunda chegue,['SHEIN'],"Los Angeles, CA",0.0
528,_ erickjunio padrão feia doer,['Nike'],🔺,0.0
529,coloco carrinho,['SHEIN'],📍018,0.0
530,_ erickjunio perder umbro,['Nike'],🔺,0.0
531,maluzenhx minar usar allstar querer falar kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,['Nike'],None,0.0
533,brotar brotar versace,['Nike'],sm - rs🌴,0.0
536,app abrir,['Nubank'],"São Luís, Brasil",0.0
538,futebol_info ataquemarketing atlético nacional,['Nike'],27,0.0
539,simplesmente deixar pagar pedir,['Nubank'],Looking at the same moon as we speak I always hope you’re happy I say to the night sky till it wears away just listen to me for one more day,0.0
541,renjunglittr deixar ter cartão,['Nubank'],仁俊 ♥︎ 锟 ♥︎ 扬扬,0.0
542,nunca tomar vida passar mal dor estômago,['Coca-cola'],eve,0.0
544,foder agora status salário ap compras,['SHEIN'],Brasil,0.0
548,raissahr amiga atual precisar maior,['Nubank'],"Rio de Janeiro, Brasil",0.0
551,fêmea continuar diminuir qm usar cropped short lindar amo estilo diferenciar,['SHEIN'],"Cajati, Brasil",0.0
552,banco inter mil vezes melhor dúvidas,['Nubank'],None,0.0
553,mo vontade vender shorts saia,['Nike'],baixada sancria,0.0
555,junioraas achar raciocínio procede deixar boca internacional europa alguns anos deixar united juventus city porto tempo gastar tubos manter barcelona sinceramente conseguir entender estratégia,['Nike'],None,0.0
556,roupas masculinas dessa moh graça preferir brechozao mainha,['SHEIN'],None,0.0
558,querer medo tmb kkkkkkkkk,['SHEIN'],None,0.0
560,conseguir redefinir senha,['Nubank'],"Fortaleza, Brasil",0.0
563,ver henna morro medo ficar dois símbolos caro,['Nike'],Itaiópolis,0.0
564,diegosudariop shox mola,['Nike'],"Parobé, Brasil",0.0
567,reporterlacerda estranho poucos clubes comodismo proposto ruim ninguém querer,['Nike'],None,0.0
568,vsf court vision idêntico air force,['Nike'],͏͏ ͏          ͏͏ ͏,0.0
569,opedrinkkj trocar chuteira achar mtooo melhor bola foder,['Nike'],None,0.0
572,cerolzera ia começar chorar falaria boquinha boa contrata fx,['Nike'],"Maranhão, Brasil",0.0
573,felipevinha mãe conseguir,['Nubank'],"Rio de Janeiro, Brasil",0.0
574,literalmente mundo empresa sair fumar saio halls kkkkkkk vício caralho,['Coca-cola'],None,0.0
575,tmncu fight ir bem olhar time inimigo ver boot jogar,['Nike'],None,0.0
576,tempo abandonar clubes america tao focar grandes europa tipo barcelona,['Nike'],crf,0.0
577,preciso parar tomar,['Coca-cola'],"Rio de Janeiro, Brasil",0.0
579,má influência certo,['Nike'],Niterói,0.0
580,aumentar namoral,['Nubank'],None,0.0
581,demorar tanto comprinhas agr nada mai novidade mundo parecer renner,['SHEIN'],São Paulo - SP,0.0
585,tristeza chegar roupa ficar bom,['SHEIN'],"Rio de Janeiro, Brasil",0.0
587,sair sozinho conta agr consigo entrar enviar mail senha,['Nubank'],None,0.0
592,tiktokbrasil cadê conto mandar favor né dias depositar osso,['Nubank'],Natal,0.0
594,vez enganar tecer roupas,['SHEIN'],Lagoa santa MG,0.0
595,mussumalive doido entrar nessa preços absurdo,['SHEIN'],None,0.0
596,compras nao chegar ainda chorar,['SHEIN'],"Caçapava, Brasil",0.0
602,app nunca conseguir ler código barras boleto,['Nubank'],"Sao Paulo, Brazil",0.0
603,diabitta roupa aliexpress querer reclamar,['SHEIN'],None,0.0
604,respeitar mlk intitular boy kkkkkkk,['Nike'],"Santos, Brasil",0.0
613,poder poder renner poder amp novo conceito vestir folha bananeira,['SHEIN'],sitcom lovebot 🏡,0.0
614,demora contestar pagamento dias,['Nubank'],MEU PAÍS ESPÍRITO SANTO,0.0
615,sair futebol poucos,['Nike'],"Teresópolis, Brasil",0.0
616,baixei pqqqqqq alguém tirar,['SHEIN'],"São Paulo, Brasil",0.0
617,min telefone resolver total coisas,['Nubank'],"Brasília, Brasil",0.0
619,sdds time sendo patrocinar,['Nike'],21,0.0
620,porque time lenir cheio anuncio pobre nao poder,['SHEIN'],None,0.0
621,deus horrível pagar boleto pqp demora ainda erro toda hora,['Nubank'],"São Paulo, Brasil",0.0
622,fazer compra valor alto cagar medo taxar,['SHEIN'],None,0.0
624,hello conhecer saber alguma regrinha sobre taxas compra but medo taxar,['SHEIN'],None,0.0
629,namorada preferência,['Nike'],None,0.0
631,aplicativo instável carregar nada,['Nubank'],"Fortaleza, Brasil",0.0
636,imaginar realmente ficar puto usar junto,['Nike'],sp,0.0
637,miojo,['Coca-cola'],21,0.0
639,aparecer calça jogger puta parir coisa feia,['SHEIN'],Manaus,0.0
640,espremer universitário final semestre sair caldo preto mistura café ódio,['Coca-cola'],"Manaus, Brasil",0.0
649,medo calça taxar,['SHEIN'],"Jacarepaguá, Rio de Janeiro",0.0
651,membro,['Nike'],"Paranaguá, Brasil",0.0
652,querer abrir acho sinal manga tentar vez abrir compro,['Nubank'],None,0.0
654,souojuao golpe kkkkkkkkkkkkk,['Nubank'],None,0.0
655,filha puta pedir sair lugar desde maio perder dinheiro ficar puta,['SHEIN'],None,0.0
656,alô pagar boletos app deixar,['Nubank'],"Porto Alegre, Brasil",0.0
658,dever andar dinheiro brincar,"['Nike', 'SHEIN']","Ilha de França, França",0.0
659,entender aumentar cartão,['Nubank'],ZN,0.0
663,roubar dinheiro,['Nike'],None,0.0
664,shoppe amazon areas extremamente perigosas,['SHEIN'],62,0.0
665,alguém problema pagar boleto negócio concluir,['Nubank'],None,0.0
670,uso tênis calçar foda,['Nike'],sp,0.0
672,i fazer bico fazer compra conto duas semanas dispensar,['SHEIN'],011 Capital das Nota$,0.0
674,chegar notificacao achar receber,['Nubank'],horror spunk —–· ela/dela,0.0
680,apple,['Nubank'],SP,0.0
683,coco,['Nubank'],"Engenho Novo, Rio de Janeiro",0.0
684,irma comer miojo tomar deus coitado estomago,['Coca-cola'],"Belo Horizonte, Brasil",0.0
686,teste caráter,['Nike'],"Manhuaçu, Brasil",0.0
688,dragooncrf pezin acostumar,['Nike'],5551,0.0
689,opinião faturas confusas pago fatura anterior pagamento aparecer próxima fatura,['Nubank'],13,0.0
690,patrickallan tirodicanto melhor grupo clubes,['Nike'],None,0.0
692,magalzaoshow muita experimenta pepsi vez qnd referir refrigerante,['Coca-cola'],Infelizmente,0.0
693,app testar paciência,['Nubank'],"Guararapes, interior de SP",0.0
695,cartomaniacosfc nunca demonstrar interessada entrar território sul americano,['Nike'],Niterói,0.0
698,hfcoradini assim,['Coca-cola'],"Minas Gerais, Brasil",0.0
703,umatleticano _ _ mesma coisas,['Nike'],"Ipatinga, Brasil",0.0
704,saber problema,['Nubank'],None,0.0
705,cara espírito consumista saia querer importar socorro,['Nike'],Me chamou de hopi Hari,0.0
707,criatura fazer pedir ubereats causa,['Coca-cola'],"New Jersey, USA",0.0
714,precisar pagar conta app carregar,['Nubank'],"Curvelo, Brasil",0.0
715,pedir shopee chegar,['SHEIN'],デッド,0.0
719,nao conseguir pagar boleto achar sinal gastar dinheiro,['SHEIN'],None,0.0
722,cocacola_br brasil triste cidade restaurantes participantes mandar mimo,['Coca-cola'],"Três Lagoas, Brasil",0.0
724,tomqr vez dia viro bixo,['Coca-cola'],None,0.0
729,obrigada meses abandonar,['Nike'],"Sant'Ana do Livramento, Brasil",0.0
730,semanas esperar capinhas trouxa,['SHEIN'],None,0.0
731,veste time pequeno,['Nike'],None,0.0
732,bater bola ovo prometer crédito agora nada,['Nubank'],"Rio de Janeiro, Brasil",0.0
